spatiotemporalType,matchType,shape_A_pre_ind,shape_A_test_ind,shape_B_pre_ind,shape_B_test_ind,ball_A_color,ball_B_color,ball_A_vertical,ball_B_vertical,responseC,browser,subjectID,startTime,endTime,reactTime
"spatiotemporal_inconsistent","same",2,2,0,0,3,1,50,-50,1,"Chrome","testSubject","2022-12-15T17:34:01.581Z","2022-12-15T17:34:06.212Z",911
"spatiotemporal_inconsistent","new",2,4,0,0,1,3,50,-50,1,"Chrome","testSubject","2022-12-15T17:34:06.758Z","2022-12-15T17:34:11.633Z",1155
"spatiotemporal_inconsistent","new",1,1,2,0,0,1,50,-50,1,"Chrome","testSubject","2022-12-15T17:34:11.950Z","2022-12-15T17:34:16.413Z",743
"spatiotemporal_inconsistent","new",1,3,2,2,2,0,50,-50,1,"Chrome","testSubject","2022-12-15T17:34:16.702Z","2022-12-15T17:34:21.046Z",624
"spatiotemporal_inconsistent","new",0,4,3,3,0,4,-50,50,1,"Chrome","testSubject","2022-12-15T17:34:21.414Z","2022-12-15T17:34:25.688Z",554
"spatiotemporal_inconsistent","same_swap",0,1,1,0,2,3,-50,50,1,"Chrome","testSubject","2022-12-15T17:34:26.070Z","2022-12-15T17:34:30.502Z",712
"spatiotemporal_inconsistent","new",4,2,3,3,4,1,-50,50,1,"Chrome","testSubject","2022-12-15T17:34:30.798Z","2022-12-15T17:34:35.700Z",1182
"spatiotemporal_inconsistent","same",1,1,3,3,3,0,50,-50,1,"Chrome","testSubject","2022-12-15T17:34:35.998Z","2022-12-15T17:34:40.778Z",1060
"spatiotemporal_inconsistent","new",1,1,4,3,0,2,50,-50,1,"Chrome","testSubject","2022-12-15T17:34:41.318Z","2022-12-15T17:34:45.884Z",846
"spatiotemporal_inconsistent","same",1,1,3,3,4,1,50,-50,1,"Chrome","testSubject","2022-12-15T17:34:46.381Z","2022-12-15T17:34:50.682Z",581
"spatiotemporal_inconsistent","same_swap",2,0,0,2,4,0,50,-50,1,"Chrome","testSubject","2022-12-15T17:34:51.118Z","2022-12-15T17:34:55.481Z",643
"spatiotemporal_inconsistent","same_swap",2,1,1,2,1,2,50,-50,1,"Chrome","testSubject","2022-12-15T17:34:55.863Z","2022-12-15T17:35:00.385Z",802
"spatiotemporal_inconsistent","new",3,1,4,4,4,2,-50,50,1,"Chrome","testSubject","2022-12-15T17:35:00.646Z","2022-12-15T17:35:04.954Z",588
"spatiotemporal_inconsistent","same",2,2,4,4,1,0,50,-50,1,"Chrome","testSubject","2022-12-15T17:35:05.166Z","2022-12-15T17:35:09.920Z",1034
"spatiotemporal_inconsistent","same_swap",0,3,3,0,4,1,-50,50,1,"Chrome","testSubject","2022-12-15T17:35:10.782Z","2022-12-15T17:35:15.139Z",637
"spatiotemporal_inconsistent","new",2,3,4,4,3,4,-50,50,1,"Chrome","testSubject","2022-12-15T17:35:15.343Z","2022-12-15T17:35:21.260Z",2197
"spatiotemporal_inconsistent","same_swap",3,1,1,3,4,0,50,-50,1,"Chrome","testSubject","2022-12-15T17:35:21.566Z","2022-12-15T17:35:26.236Z",950
"spatiotemporal_inconsistent","new",2,2,4,1,0,3,-50,50,1,"Chrome","testSubject","2022-12-15T17:35:26.942Z","2022-12-15T17:35:31.294Z",632
"spatiotemporal_inconsistent","same_swap",0,4,4,0,2,3,-50,50,1,"Chrome","testSubject","2022-12-15T17:35:31.671Z","2022-12-15T17:35:36.727Z",1336
"spatiotemporal_inconsistent","same_swap",1,2,2,1,1,2,50,-50,1,"Chrome","testSubject","2022-12-15T17:35:37.239Z","2022-12-15T17:35:41.707Z",748
"spatiotemporal_inconsistent","same",2,2,0,0,0,3,50,-50,1,"Chrome","testSubject","2022-12-15T17:35:42.478Z","2022-12-15T17:35:46.729Z",531
"spatiotemporal_inconsistent","same",4,4,3,3,2,1,50,-50,1,"Chrome","testSubject","2022-12-15T17:35:47.118Z","2022-12-15T17:35:51.912Z",1074
"spatiotemporal_inconsistent","new",3,3,2,0,4,2,50,-50,1,"Chrome","testSubject","2022-12-15T17:35:52.279Z","2022-12-15T17:35:57.165Z",1166
"spatiotemporal_inconsistent","same",0,0,1,1,3,4,50,-50,1,"Chrome","testSubject","2022-12-15T17:36:02.566Z","2022-12-15T17:36:06.935Z",649
"spatiotemporal_inconsistent","new",4,3,2,2,1,4,-50,50,1,"Chrome","testSubject","2022-12-15T17:36:08.943Z","2022-12-15T17:37:05.250Z",52587
"spatiotemporal_inconsistent","same",3,3,1,1,4,2,50,-50,1,"Chrome","testSubject","2022-12-15T17:37:09.977Z","2022-12-15T17:37:14.733Z",1036
"spatiotemporal_inconsistent","same_swap",0,1,1,0,0,1,-50,50,1,"Chrome","testSubject","2022-12-15T17:37:15.985Z","2022-12-15T17:37:20.515Z",810
"spatiotemporal_inconsistent","new",3,3,0,2,1,2,50,-50,1,"Chrome","testSubject","2022-12-15T17:37:21.377Z","2022-12-15T17:37:25.773Z",676
"spatiotemporal_inconsistent","same",3,3,0,0,1,3,50,-50,1,"Chrome","testSubject","2022-12-15T17:37:26.616Z","2022-12-15T17:37:31.277Z",941
"spatiotemporal_inconsistent","same_swap",1,4,4,1,1,4,-50,50,1,"Chrome","testSubject","2022-12-15T17:37:31.528Z","2022-12-15T17:37:36.027Z",779
"spatiotemporal_inconsistent","new",3,4,0,0,3,0,50,-50,1,"Chrome","testSubject","2022-12-15T17:37:36.401Z","2022-12-15T17:37:41.019Z",898
"spatiotemporal_inconsistent","same",3,3,1,1,0,4,-50,50,1,"Chrome","testSubject","2022-12-15T17:37:41.328Z","2022-12-15T17:37:45.778Z",730
"spatiotemporal_inconsistent","new",3,3,2,0,3,0,50,-50,1,"Chrome","testSubject","2022-12-15T17:37:46.152Z","2022-12-15T17:37:50.946Z",1074
"spatiotemporal_inconsistent","same",0,0,3,3,3,1,-50,50,1,"Chrome","testSubject","2022-12-15T17:37:51.249Z","2022-12-15T17:37:55.799Z",830
"spatiotemporal_inconsistent","same_swap",4,3,3,4,1,2,-50,50,1,"Chrome","testSubject","2022-12-15T17:37:55.993Z","2022-12-15T17:38:00.659Z",946
"spatiotemporal_inconsistent","same",2,2,3,3,4,1,-50,50,1,"Chrome","testSubject","2022-12-15T17:38:00.961Z","2022-12-15T17:38:05.581Z",900
"spatiotemporal_inconsistent","same_swap",2,4,4,2,1,4,50,-50,1,"Chrome","testSubject","2022-12-15T17:38:05.897Z","2022-12-15T17:38:10.401Z",784
"spatiotemporal_inconsistent","new",0,0,1,4,3,4,-50,50,1,"Chrome","testSubject","2022-12-15T17:38:10.609Z","2022-12-15T17:38:15.569Z",1240
"spatiotemporal_inconsistent","same",1,1,4,4,2,0,50,-50,1,"Chrome","testSubject","2022-12-15T17:38:15.865Z","2022-12-15T17:38:20.396Z",811
"spatiotemporal_inconsistent","same_swap",2,1,1,2,2,0,-50,50,1,"Chrome","testSubject","2022-12-15T17:38:20.657Z","2022-12-15T17:38:24.946Z",569
"spatiotemporal_inconsistent","new",3,4,0,0,1,4,50,-50,1,"Chrome","testSubject","2022-12-15T17:38:25.217Z","2022-12-15T17:38:29.764Z",827
"spatiotemporal_inconsistent","same",4,4,1,1,2,4,50,-50,1,"Chrome","testSubject","2022-12-15T17:38:30.537Z","2022-12-15T17:38:34.906Z",649
"spatiotemporal_inconsistent","new",1,4,2,2,1,3,-50,50,1,"Chrome","testSubject","2022-12-15T17:38:35.153Z","2022-12-15T17:38:39.736Z",863
"spatiotemporal_inconsistent","same",4,4,3,3,3,2,50,-50,1,"Chrome","testSubject","2022-12-15T17:38:40.065Z","2022-12-15T17:38:44.371Z",586
"spatiotemporal_inconsistent","same_swap",4,0,0,4,3,4,-50,50,1,"Chrome","testSubject","2022-12-15T17:38:44.689Z","2022-12-15T17:38:49.615Z",1206
"spatiotemporal_inconsistent","same_swap",1,3,3,1,3,1,-50,50,1,"Chrome","testSubject","2022-12-15T17:38:49.873Z","2022-12-15T17:38:54.298Z",705
"spatiotemporal_inconsistent","new",3,3,4,2,0,3,-50,50,1,"Chrome","testSubject","2022-12-15T17:38:54.497Z","2022-12-15T17:39:00.254Z",2037
"spatiotemporal_inconsistent","same_swap",0,4,4,0,3,4,50,-50,1,"Chrome","testSubject","2022-12-15T17:39:00.504Z","2022-12-15T17:39:05.178Z",954
"spatiotemporal_inconsistent","same",2,2,1,1,3,1,50,-50,1,"Chrome","testSubject","2022-12-15T17:39:05.425Z","2022-12-15T17:39:09.995Z",850
"spatiotemporal_inconsistent","same_swap",1,3,3,1,1,2,50,-50,1,"Chrome","testSubject","2022-12-15T17:39:10.281Z","2022-12-15T17:39:14.605Z",604
"spatiotemporal_inconsistent","new",4,4,0,2,0,3,-50,50,1,"Chrome","testSubject","2022-12-15T17:39:15.169Z","2022-12-15T17:39:19.822Z",933
"spatiotemporal_inconsistent","same",3,3,2,2,0,2,50,-50,1,"Chrome","testSubject","2022-12-15T17:39:20.114Z","2022-12-15T17:39:38.396Z",14562
"spatiotemporal_inconsistent","same_swap",3,0,0,3,3,4,50,-50,1,"Chrome","testSubject","2022-12-15T17:39:38.641Z","2022-12-15T17:39:43.305Z",944
"spatiotemporal_inconsistent","same_swap",3,4,4,3,0,4,-50,50,1,"Chrome","testSubject","2022-12-15T17:39:43.577Z","2022-12-15T17:39:48.081Z",784
"spatiotemporal_inconsistent","new",0,0,4,3,1,2,50,-50,1,"Chrome","testSubject","2022-12-15T17:39:48.368Z","2022-12-15T17:39:53.055Z",967
"spatiotemporal_inconsistent","same",3,3,1,1,3,2,50,-50,1,"Chrome","testSubject","2022-12-15T17:39:54.361Z","2022-12-15T17:39:58.909Z",828
"spatiotemporal_inconsistent","same",0,0,1,1,3,0,50,-50,1,"Chrome","testSubject","2022-12-15T17:39:59.576Z","2022-12-15T17:40:03.897Z",601
"spatiotemporal_inconsistent","same",2,2,0,0,4,2,50,-50,1,"Chrome","testSubject","2022-12-15T17:40:04.264Z","2022-12-15T17:40:09.016Z",1032
"spatiotemporal_inconsistent","same_swap",3,2,2,3,0,3,-50,50,1,"Chrome","testSubject","2022-12-15T17:40:09.840Z","2022-12-15T17:40:15.145Z",1585
"spatiotemporal_inconsistent","new",3,0,2,2,4,2,50,-50,1,"Chrome","testSubject","2022-12-15T17:40:19.722Z","2022-12-15T17:40:24.914Z",1472
"spatiotemporal_inconsistent","same_swap",2,1,1,2,2,1,-50,50,1,"Chrome","testSubject","2022-12-15T17:40:25.271Z","2022-12-15T17:40:30.632Z",1641
"spatiotemporal_inconsistent","new",1,1,0,2,0,2,-50,50,1,"Chrome","testSubject","2022-12-15T17:40:30.962Z","2022-12-15T17:40:35.805Z",1123
"spatiotemporal_inconsistent","same",1,1,0,0,4,2,50,-50,1,"Chrome","testSubject","2022-12-15T17:40:37.080Z","2022-12-15T17:40:46.009Z",5209
"spatiotemporal_inconsistent","same_swap",2,0,0,2,1,0,50,-50,1,"Chrome","testSubject","2022-12-15T17:40:46.616Z","2022-12-15T17:40:52.047Z",1711
"spatiotemporal_inconsistent","same_swap",3,4,4,3,0,1,50,-50,1,"Chrome","testSubject","2022-12-15T17:40:52.704Z","2022-12-15T17:40:57.786Z",1362
"spatiotemporal_inconsistent","new",3,1,2,2,1,3,50,-50,1,"Chrome","testSubject","2022-12-15T17:40:58.584Z","2022-12-15T17:41:04.778Z",2474
